ROI 0,ROI 1,Overall
0.011042751736111111,0.004568142361111111,0.017161458333333334
0.01000759548611111,0.005916883680555556,0.01769748263888889
0.009981553819444445,0.0047786458333333335,0.016650390625
0.009715711805555555,0.003798828125,0.015033637152777777
0.008912760416666667,0.0033072916666666667,0.013599175347222223
0.007260199652777778,0.0025889756944444445,0.011552734375
0.006650390625,0.0026812065972222224,0.011634114583333334
0.005997178819444444,0.0037141927083333332,0.012149522569444444
0.006105685763888889,0.0034895833333333333,0.01214626736111111
0.012593315972222222,0.009154730902777778,0.03153103298611111
0.003837890625,0.001906467013888889,0.0076996527777777775
0.004916449652777778,0.004424913194444445,0.011815321180555555
0.004436848958333333,0.007178819444444444,0.014168836805555555
0.004256727430555556,0.009203559027777778,0.01640842013888889
0.004714626736111111,0.007791883680555556,0.01566623263888889
0.0036859809027777776,0.0060297309027777775,0.013364800347222223
0.0030653211805555555,0.005862630208333333,0.013370225694444444
0.002409939236111111,0.007088758680555555,0.01409939236111111
0.011515842013888888,0.011253255208333333,0.036180555555555556
0.012476128472222223,0.015227864583333334,0.049680989583333335
0.003019748263888889,0.005043402777777778,0.012807074652777778
0.003100043402777778,0.006360677083333334,0.014698350694444445
0.0015104166666666666,0.004620225694444444,0.009609375
0.0016612413194444444,0.004440104166666667,0.00903537326388889
0.0011458333333333333,0.004243706597222222,0.008003472222222223
0.0008224826388888889,0.004004991319444444,0.0075065104166666665
0.001062282986111111,0.0022211371527777776,0.005027126736111111
0.002587890625,0.0012163628472222222,0.006268446180555555
0.0032411024305555557,0.002351345486111111,0.008225911458333334
0.00931640625,0.009869791666666667,0.030967881944444445
0.0024782986111111112,0.005206163194444445,0.009769965277777778
0.0038151041666666667,0.008795572916666666,0.015901692708333335
0.0037434895833333335,0.00967990451388889,0.016969401041666665
0.0037174479166666666,0.011420355902777778,0.018913845486111112
0.0034581163194444446,0.012137586805555555,0.020327690972222222
0.003371310763888889,0.012132161458333334,0.019749348958333333
0.0030262586805555555,0.012051866319444444,0.018665364583333333
0.0029329427083333334,0.011253255208333333,0.018321397569444446
0.0024934895833333332,0.010949435763888888,0.017596571180555555
0.009348958333333334,0.01582790798611111,0.040053168402777777
0.0013953993055555555,0.007424045138888889,0.011768663194444445
0.002202690972222222,0.008578559027777778,0.014600694444444444
0.003154296875,0.006706814236111111,0.014337022569444444
0.009308810763888889,0.008871527777777779,0.02922634548611111
0.002651909722222222,0.005696614583333333,0.013803168402777777
0.0030284288194444443,0.0062348090277777775,0.015896267361111112
0.002750651041666667,0.005823567708333333,0.015046657986111111
0.0023133680555555555,0.005821397569444445,0.014063585069444445
0.0034874131944444445,0.00478515625,0.014367404513888888
0.013464626736111112,0.011343315972222223,0.045009765625
0.004677734375,0.0016775173611111112,0.009890407986111112
0.0063129340277777776,0.0017827690972222223,0.012705078125
0.007839626736111112,0.0021397569444444446,0.013848741319444444
0.00830078125,0.0015614149305555555,0.014176432291666667
0.008123914930555556,0.0017068142361111112,0.014047309027777777
0.007280815972222222,0.0015169270833333332,0.013042534722222223
0.008363715277777777,0.0015983072916666667,0.01389865451388889
0.008254123263888889,0.0025900607638888887,0.015137803819444445
0.009381510416666667,0.00322265625,0.01729709201388889
0.016442057291666666,0.00896484375,0.039636501736111114
0.007213541666666667,0.0013628472222222223,0.012383897569444444
